xid	pm	zhan	kind
32	13	朝阳半壁店	2
32	12	方家村	2
32	9	唐家村	2
32	8	东石门	2
32	5	珠江帝景	2
32	4	九龙山	2
32	2	王四营桥南	1
32	10	唐家村	1
32	12	大郊亭桥西	1
32	3	北京东站北	2
32	1	大北窑东	2
32	6	朝阳半壁店	1
32	7	方家村	1
32	13	珠江帝景	1
32	14	九龙山	1
32	15	八王坟南	1
32	16	八王坟西	1
32	17	大北窑东	1
32	11	东石门	1
32	8	四根旗杆	1
32	9	小海子	1
32	2	八王坟南	2
32	6	大郊亭桥西	2
32	7	大郊亭桥东	2
32	14	启智学校	2
32	15	观音堂	2
32	16	王四营	2
32	17	王四营桥东	2
32	18	孛罗营	2
33	24	夕照寺	3
33	25	光明楼	3
33	26	龙潭公园	3
33	30	方庄环岛北	3
33	29	芳城路东口	3
33	28	左安门内	3
33	22	白桥大街	3
33	21	东便门	3
33	20	崇文门东	3
33	19	花市路口北	3
33	18	羊市口	3
33	17	小市口	3
33	16	培新街	3
33	15	安化楼	3
33	14	广渠门内	3
33	13	夕照寺街北口	3
33	12	夕照寺	3
33	31	方庄南口	3
33	32	刘家窑桥东	3
33	10	龙潭公园	3
33	9	龙潭湖游泳池	3
33	8	左安门内	3
33	11	光明楼	3
33	27	龙潭湖游泳池	3
33	7	左安门外	3
33	23	夕照寺街北口	3
33	6	八里河	3
33	5	芳星园	3
33	4	方庄南口	3
33	3	刘家窑桥东	3
33	2	横七条	3
33	33	横七条	3
33	1	五间楼	3
33	34	五间楼	3
34	19	东四十二条	2
34	16	厂桥路口东	1
34	15	东官房	1
34	10	张自忠路	1
34	13	地安门东	1
34	12	锣鼓巷	1
34	11	宽街路口东	1
34	3	和平里路口南	1
34	4	和平里南口	1
34	5	北小街豁口	1
34	6	雍和宫	1
34	13	东官房	2
34	14	北海北门	2
34	7	阜成门内	2
34	11	平安里路口南	2
34	3	二七剧场路北口	2
34	4	儿童医院路口西	2
34	5	月坛公园	2
34	25	和平里路口北	2
34	22	雍和宫桥东	2
34	18	大红罗厂西口	1
34	17	平安里路口南	1
34	26	三里河东口	1
34	14	北海北门	1
34	1	西城三里河	2
34	26	和平里商场	2
34	22	南礼士路北口	1
34	23	月坛公园	1
34	24	儿童医院路口西	1
34	10	大红罗厂西口	2
34	15	地安门东	2
34	27	和平东桥南	2
34	27	西城三里河	1
34	19	西四路口西	1
34	9	东四十二条	1
34	25	二七剧场路北口	1
34	1	和平东桥南	1
34	20	白塔寺	1
34	2	和平里商场	1
34	12	厂桥路口西	2
34	24	和平里南口	2
34	21	国子监	2
34	20	北新桥路口北	2
34	18	张自忠路	2
34	16	锣鼓巷	2
34	8	白塔寺	2
34	7	国子监	1
34	6	阜成门	2
34	21	阜成门内	1
34	17	宽街路口东	2
34	2	三里河东口	2
34	8	北新桥路口北	1
34	23	北小街豁口	2
34	9	西四路口北	2
35	7	龙泽	1
35	8	霍营	2
35	13	芍药居	1
35	4	五道口	1
35	3	知春路	1
35	9	霍营	1
35	10	立水桥	1
35	11	北苑	1
35	1	西直门	1
35	11	西二旗	2
35	15	大钟寺	2
35	1	东直门	2
35	13	五道口	2
35	10	龙泽	2
35	3	光熙门	2
35	2	柳芳	2
35	12	上地	2
35	16	东直门	1
35	9	回龙观	2
35	6	北苑	2
35	5	上地	1
35	14	光熙门	1
35	7	立水桥	2
35	12	望京西	1
35	4	芍药居	2
35	5	望京西	2
35	16	西直门	2
35	6	西二旗	1
35	15	柳芳	1
35	2	大钟寺	1
35	14	知春路	2
35	8	回龙观	1
36	15	西马厂北口	2
36	14	力学胡同	1
36	12	和平门内	1
36	10	虎坊桥路口南	1
36	14	马家堡东口	2
36	7	陶然桥北	1
36	13	六部口南	1
36	17	角门南站	2
36	16	角门	2
36	3	府右街	2
36	5	六部口南	2
36	6	四路通	1
36	8	太平街	1
36	12	四路通	2
36	10	太平街	2
36	11	陶然桥北	2
36	9	虎坊路	2
36	16	西安门	1
36	4	力学胡同	2
36	8	虎坊桥路口南	2
36	15	府右街	1
36	7	琉璃厂	2
36	6	和平门内	2
36	4	马家堡东口	1
36	17	后库	1
36	2	西安门	2
36	5	洋桥北	1
36	1	北京三十九中学	2
36	1	角门南站	1
36	2	角门	1
36	3	西马厂北口	1
36	9	虎坊路	1
36	11	琉璃厂	1
36	13	洋桥南	2
37	15	月坛公园	2
37	13	礼士路南口	2
37	12	复兴门内	2
37	2	北京展览馆	1
37	11	真武庙二条	1
37	5	永安路	2
37	8	月坛公园	1
37	18	琉璃厂	1
37	14	北京儿童医院西门	2
37	11	民族文化宫	2
37	9	宣武门东	2
37	8	和平门外	2
37	4	友谊医院	2
37	22	福长街	1
37	20	北京展览馆	2
37	21	动物园	2
37	3	福长街	2
37	17	和平门外	1
37	12	南礼士路	1
37	9	北京儿童医院西门	1
37	10	礼士路南口	1
37	24	天桥商场	1
37	19	虎坊桥路口南	1
37	6	虎坊桥路口南	2
37	7	琉璃厂	2
37	1	天桥商场	2
37	16	宣武门东	1
37	1	动物园	1
37	4	百万庄东口	1
37	5	展览路	1
37	6	月坛北街北站	1
37	7	月坛北街	1
37	3	二里沟东口	1
37	18	百万庄东口	2
37	16	月坛北街	2
37	17	展览路	2
37	21	友谊医院	1
37	2	南纬路	2
37	20	永安路	1
37	19	二里沟东口	2
37	23	南纬路	1
37	10	长椿街路口北	2
37	13	复兴门内	1
37	14	民族文化宫	1
37	15	西单路口南	1
38	11	明光桥北	1
38	21	二里庄	2
38	15	皂君庙	1
38	16	大柳树北站	1
38	7	皂君庙	2
38	14	北太平桥北	2
38	19	志新北里	2
38	15	牡丹园	2
38	10	蓟门桥南	1
38	18	志新桥北	2
38	17	志新桥南	2
38	16	牡丹园北	2
38	13	铁狮子坟	2
38	8	皂君庙东站	2
38	12	北京师范大学南门	2
38	20	城铁西直门站	1
38	21	西直门外	1
38	1	西直门外	2
38	2	城铁西直门站	2
38	17	大柳树南站	1
38	6	大柳树北站	2
38	3	志新北里	1
