id	busw
1826	房48路
1827	房31支线
1664	航站楼摆渡车
1666	空港3路
1667	房47路
1669	820路(原927专线)
1670	925支1路[四海-海字口]
1798	828路(原943支线)(跨省)
1678	860路(原984区间[东三旗])
1679	866路(原916东线)
1680	兴1路
1681	815快车(原930诸葛店快车)(跨省)
1682	977快车
1683	942快车
1684	935快车
1808	885路(原919支3快车)
1685	938快车(跨省)
1686	839路(原971快车)
1688	昌51区间
1689	805快车(原938支5快车)(跨省)
1782	房41路
1702	昌57支线
1705	兴35路
1774	872路(原925旅游专线[十三陵])
1778	专线1路
1770	兴33路
1818	临线1路
1768	563区间
1833	950路
1773	925路[大庄科-德胜门]
1902	836区间(原917支1路)
1783	892路[珠窝](原929支线[珠窝])
1861	北京站-北京西站专线
1766	顺43路
1765	顺45路
1764	677区间
1819	兴36路
1763	机场泰达线
1784	838直达(原917支4直达)(跨省)
1792	826路(原926支线快车)(跨省)
1790	849专线(原943区间专线)(跨省)
1795	636路
1805	915支3路
1846	昌66路
1799	365区间[西二旗]
1801	553路
1802	951路
1803	928路
1804	专线2路
1900	835路(原917支线快车)
1906	836区间快车(原917支1快车)
1903	837区间(原917支7路)
1840	昌2路
1855	顺17区间[后岭]
1854	通28路
1926	917野三坡旅游专线(跨省)
1849	645快车
1812	运通122线
1809	机场廊坊线
1810	密60路
1811	密62路
1828	825路(原957支1路)
1848	通29路
1813	运通121线
1815	925支3路[马家店]
1816	901区间[岗南]
1821	房山环城1外环
1822	房山环城2内环
1837	499路[高安屯路]
1823	平47路
1824	房18支2路
1825	房37支线
1853	通31路
1829	557路
1830	560路
1835	933路
1836	871路(原919支8路)
1852	兴47路
1839	昌31支线
1918	顺11区间[刘各庄]
1857	房42支线
1885	双桥-大北窑直达快车
1898	通32路
1858	密19支线
1966	Y17路
1863	兴42路
1864	专线22路
1865	917快车(跨省)
1866	兴44路
1868	880快车(原919专线[涿鹿])(跨省)
1869	81快车
1870	Y07路(原920南环[莲花滩])
1871	专线28路
1872	专线30路
1874	专线27路
1875	专线24路
1876	专线23路
1877	专线21路
1878	专线20外环
1879	564路
1880	566路
1881	苹果园-公主坟直达快车
1882	密19路
1883	密20路
1884	密21路
1888	龙泽-健德门直达快车
1889	天通苑-大屯直达快车
1890	天通苑-和平西桥直达快车
1891	647路-322路联运
1947	双桥农场-大北窑通勤快车
1892	水仙西路-大北窑直达快车
1893	大红门-槐房西路直达快车
1897	专线21区间
1894	燕京航城-CBD直达快车
1895	燕郊电厂-CBD直达快车
1904	837快车区间(原917支2区间)
1907	大兴专1线
1908	大兴专3线
1909	顺义龙湾屯1路
1910	兴28区间
1911	密24路
1912	密34路
1913	918专线(跨省)
1914	882临线外环(原919支2临线外环)
1915	Y10路(原920环2路[火车站-温泉])
1916	延6支线(原920环4班车[九三七六二部队])
1917	831路
1919	顺11区间[豹房]
1920	顺21区间
1921	顺28路
1922	顺28区间[汉石桥]
1923	顺34区间
1924	顺31区间
1932	平32路[海子]
1935	646区间
1940	联合大学北苑校区直达快车
1941	联合大学双清路校区直达快车
1937	882临线内环(原919支2临线内环)
1939	摆站336路
1942	647路-312路联运
1943	648路-649路联运
1946	365区间[邓庄子]
1948	429区间
1990	876支线
1950	668快车
1951	669快车
1952	667路-552路联运
1954	969路(原944支线南段)
1957	专线20内环
1969	920西环[石峡]
1961	818快车(原930天洋城快车)
1964	90内环
1965	兴32区间
1967	967路[东段]
1968	848路[北段](原957快2路北段)
1972	918区间[关上]
1983	345快车-345路区间联运
1984	356区间
1985	652区间
1986	天通苑-国贸通勤快车
1987	专线20路
1988	房14区间(东港)
1989	昌11区间
